,Unnamed: 0,store_website,description,regular_price,url,image,promotion_quantity,brand,store_name,store_slug,discount,promotion_price,measurement,image_large_url,product_code,availability,store,name,img_file
599,599,http://www.primeonline.com.sg/,Brand's Essence Of Chicken Traditional,19.95,http://www.primeonline.com.sg/brand-s-essence-of-chicken-traditional.html,https://www.primeonline.com.sg/media/catalog/product/cache/1/small_image/204x204/040ec09b1e35df139433887a97daa66f/b/r/brand_seoctrad6_168ml_022100423_main.jpg,,Brand's,Prime Supermarket,prime-supermarket,19.9,,7s x 68ml,https://www.primeonline.com.sg/media/catalog/product/cache/1/image/340x340/040ec09b1e35df139433887a97daa66f/b/r/brand_seoctrad6_168ml_022100423_main.jpg,22100423,False,,Brand's Essence Of Chicken Traditional,brand_seoctrad6_168ml_022100423_main.jpg
600,600,http://www.primeonline.com.sg/,Allswell Golden Pear With Aloe Vera,1.3,http://www.primeonline.com.sg/allswell-golden-pear-w-aloe-vera.html,https://www.primeonline.com.sg/media/catalog/product/cache/1/small_image/204x204/040ec09b1e35df139433887a97daa66f/a/l/allswellgoldenpear_023200947_main.jpg,,Allswell,Prime Supermarket,prime-supermarket,1.15,,500 ml,https://www.primeonline.com.sg/media/catalog/product/cache/1/image/340x340/040ec09b1e35df139433887a97daa66f/a/l/allswellgoldenpear_023200947_main.jpg,23200947,True,,Allswell Golden Pear With Aloe Vera,allswellgoldenpear_023200947_main.jpg
601,601,http://www.primeonline.com.sg/,Allswell Golden Pear With Aloe Vera,2.1,http://www.primeonline.com.sg/allswell-golden-pear-w-aloe-vera-2187.html,https://www.primeonline.com.sg/media/catalog/product/cache/1/small_image/204x204/040ec09b1e35df139433887a97daa66f/a/l/allswellgoldenpear_023200949_main.jpg,,Allswell,Prime Supermarket,prime-supermarket,1.9,,1L,https://www.primeonline.com.sg/media/catalog/product/cache/1/image/340x340/040ec09b1e35df139433887a97daa66f/a/l/allswellgoldenpear_023200949_main.jpg,23200949,True,,Allswell Golden Pear With Aloe Vera,allswellgoldenpear_023200949_main.jpg
602,602,http://www.primeonline.com.sg/,Darlie Toothpaste (Kids) - Strawberry Flavor,1.2,http://www.primeonline.com.sg/darlie-toothpaste-kids-strawberry-flavor.html,https://www.primeonline.com.sg/media/catalog/product/cache/1/small_image/204x204/040ec09b1e35df139433887a97daa66f/d/a/darlietoothpastekidsstrawberry40g_030400077_main.jpg,,Darlie,Prime Supermarket,prime-supermarket,,,40 g,https://www.primeonline.com.sg/media/catalog/product/cache/1/image/340x340/040ec09b1e35df139433887a97daa66f/d/a/darlietoothpastekidsstrawberry40g_030400077_main.jpg,30400077,True,,Darlie Toothpaste (Kids) - Strawberry Flavor,darlietoothpastekidsstrawberry40g_030400077_main.jpg
603,603,http://www.primeonline.com.sg/,Marigold 100% Juice - Pear Mixed Berries,4.25,http://www.primeonline.com.sg/marigold-100-juice-pear-mixed-berries.html,https://www.primeonline.com.sg/media/catalog/product/cache/1/small_image/204x204/040ec09b1e35df139433887a97daa66f/m/a/marigoldpearmixberries6s_023100147_main.jpg,,Marigold,Prime Supermarket,prime-supermarket,3.95,,6s x 250ml,https://www.primeonline.com.sg/media/catalog/product/cache/1/image/340x340/040ec09b1e35df139433887a97daa66f/m/a/marigoldpearmixberries6s_023100147_main.jpg,23100147,True,,Marigold 100% Juice - Pear Mixed Berries,marigoldpearmixberries6s_023100147_main.jpg
604,604,http://www.primeonline.com.sg/,Marigold 100% Juice - Tropical Fruits (No Sugar Added),2.15,http://www.primeonline.com.sg/marigold-100-juice-tropical-fruits-no-sugar-added.html,https://www.primeonline.com.sg/media/catalog/product/cache/1/small_image/204x204/040ec09b1e35df139433887a97daa66f/m/a/marigoldtropicafruits_023100150_main.jpg,2.0,Marigold,Prime Supermarket,prime-supermarket,,4.15,1L,https://www.primeonline.com.sg/media/catalog/product/cache/1/image/340x340/040ec09b1e35df139433887a97daa66f/m/a/marigoldtropicafruits_023100150_main.jpg,23100150,True,,Marigold 100% Juice - Tropical Fruits (No Sugar Added),marigoldtropicafruits_023100150_main.jpg
605,605,http://www.primeonline.com.sg/,Biore Facial Foam Pore & Oil Clear,3.3,http://www.primeonline.com.sg/biore-facial-foam-pore-oil-clear.html,https://www.primeonline.com.sg/media/catalog/product/cache/1/small_image/204x204/040ec09b1e35df139433887a97daa66f/b/i/biorefacialfoampore_oilclear100g_030600378_main.jpg,,Biore,Prime Supermarket,prime-supermarket,,,100 g,https://www.primeonline.com.sg/media/catalog/product/cache/1/image/340x340/040ec09b1e35df139433887a97daa66f/b/i/biorefacialfoampore_oilclear100g_030600378_main.jpg,30600378,False,,Biore Facial Foam Pore & Oil Clear,biorefacialfoampore_oilclear100g_030600378_main.jpg
606,606,http://www.primeonline.com.sg/,Marigold 100% Juice - Orange (No Sugar Added),2.15,http://www.primeonline.com.sg/marigold-100-juice-orange-no-sugar-added.html,https://www.primeonline.com.sg/media/catalog/product/cache/1/small_image/204x204/040ec09b1e35df139433887a97daa66f/m/a/marigoldorange_023100117_main.jpg,2.0,Marigold,Prime Supermarket,prime-supermarket,,4.15,1L,https://www.primeonline.com.sg/media/catalog/product/cache/1/image/340x340/040ec09b1e35df139433887a97daa66f/m/a/marigoldorange_023100117_main.jpg,23100117,True,,Marigold 100% Juice - Orange (No Sugar Added),marigoldorange_023100117_main.jpg
607,607,http://www.primeonline.com.sg/,Marigold 100% Juice - Carrot & Mixed Fruits (No Sugar Added),2.15,http://www.primeonline.com.sg/marigold-100-juice-carrot-mixed-fruits-no-sugar-added.html,https://www.primeonline.com.sg/media/catalog/product/cache/1/small_image/204x204/040ec09b1e35df139433887a97daa66f/m/a/marigoldcarrotmixed_023100126_main.jpg,2.0,Marigold,Prime Supermarket,prime-supermarket,,4.15,1L,https://www.primeonline.com.sg/media/catalog/product/cache/1/image/340x340/040ec09b1e35df139433887a97daa66f/m/a/marigoldcarrotmixed_023100126_main.jpg,23100126,True,,Marigold 100% Juice - Carrot & Mixed Fruits,marigoldcarrotmixed_023100126_main.jpg
608,608,http://www.primeonline.com.sg/,Marigold 100% Juice - Apple Grape,4.25,http://www.primeonline.com.sg/marigold-100-juice-apple-grape.html,https://www.primeonline.com.sg/media/catalog/product/cache/1/small_image/204x204/040ec09b1e35df139433887a97daa66f/m/a/marigoldapplegrape6s_023100111_main.jpg,,Marigold,Prime Supermarket,prime-supermarket,3.95,,6s x 250ml,https://www.primeonline.com.sg/media/catalog/product/cache/1/image/340x340/040ec09b1e35df139433887a97daa66f/m/a/marigoldapplegrape6s_023100111_main.jpg,23100111,True,,Marigold 100% Juice - Apple Grape,marigoldapplegrape6s_023100111_main.jpg
